cat,template,type
Basic-direction Query,I'm at VV and need to get to CC. What's the basic direction?,0
Basic-direction Query,I'm at VV and need to get to CC. What's the general direction?,0
Basic-direction Query,I'm at VV and want to reach CC. What direction should I head in?,0
Basic-direction Query,I'm curious about the direction from VV to CC.,0
Basic-direction Query,I'm looking for directions from VV to CC.,0
Basic-direction Query,I'm lost in the city. Can someone tell me how to get from VV to CC?,0
Basic-direction Query,I'm lost. Can someone please tell me the direction from VV to CC?,0
Basic-direction Query,I'm planning a trip from VV to CC. What direction should I take?,0
Basic-direction Query,I'm traveling from VV to CC. What is the basic direction I should follow?,0
Basic-direction Query,I'm trying to find my way from VV to CC. Can you assist me with the compass direction?,0
Basic-direction Query,I'm trying to reach VV from CC. What's the basic direction?,0
Basic-direction Query,"In a general sense, how would you discover the direction from VV to CC?",0
Basic-direction Query,"In a general sense, what's the bearing between VV and CC?",0
Basic-direction Query,"In a general sense, what's the cardinal direction from VV to CC?",0
Basic-direction Query,"In a general sense, what's the compass direction from VV to CC?",0
Basic-direction Query,"In a general sense, what's the compass heading when traveling from VV to CC?",0
Basic-direction Query,"In a general sense, what's the compass point when traveling from VV to CC?",0
Basic-direction Query,"In a general sense, what's the heading from VV to CC?",0
Basic-direction Query,"In a general sense, what's the orientation from VV to CC?",0
Basic-direction Query,"In a general sense, what's the overall orientation from VV to CC?",0
Basic-direction Query,"In a general sense, what's the travel direction from VV to CC?",0
Basic-direction Query,In what compass point should I head when traveling from VV to CC?,0
Basic-direction Query,In which direction should I head towards VV from CC?,0
Basic-direction Query,Is there a simple way to find the compass bearing from VV to CC?,0
Basic-direction Query,Locate the path from VV to CC.,0
Basic-direction Query,Map the direction from VV to CC.,0
Basic-direction Query,Navigate from VV to CC.,0
Basic-direction Query,Navigate from VV to CC. Show me the way.,0
Basic-direction Query,Navigate the direction from VV to CC.,0
Basic-direction Query,Navigate the way to VV from CC.,0
Basic-direction Query,Navigation from VV to CC?,0
Basic-direction Query,Navigation route VV to CC.,0
Basic-direction Query,Navigational route from VV to CC.,0
Basic-direction Query,Orientation from VV to CC.,0
Basic-direction Query,Pathfinding VV to CC.,0
Basic-direction Query,Pathway from VV to CC?,0
Basic-direction Query,Please indicate the orientation if I start at VV and head towards CC.,0
Basic-direction Query,Please tell me the direction to go from VV to CC.,0
Basic-direction Query,Point me from VV in the direction of CC..,0
Basic-direction Query,Point me in the right direction from VV to CC.,0
Basic-direction Query,Rough bearing from VV to CC?,0
Basic-direction Query,Route advice from VV to CC?,0
Basic-direction Query,Route assistance from VV to CC?,0
Basic-direction Query,Route guidance from VV to CC?,0
Basic-direction Query,Show me the direction from VV to CC.,0
Basic-direction Query,Tell me the direction from VV to CC.,0
Basic-direction Query,Travel direction from VV to CC?,0
Basic-direction Query,Travel direction VV to CC.,0
Basic-direction Query,What direction should I follow from VV to CC?,0
Basic-direction Query,What direction should I head in to travel from VV to CC?,0
Basic-direction Query,What direction should I take from VV to CC?,0
Basic-direction Query,What direction should I take to go from VV to CC?,0
Basic-direction Query,What does the map look like from VV to CC?,0
Basic-direction Query,What is the azimuth between VV and CC?,0
Basic-direction Query,What is the azimuth from VV to CC?,0
Basic-direction Query,What is the bearing between VV and CC?,0
Basic-direction Query,What is the bearing from VV to CC?,0
Basic-direction Query,What is the best course for traveling from VV to CC?,0
Basic-direction Query,What is the cardinal direction from VV to CC?,0
Basic-direction Query,What is the charted course for traveling from VV to CC?,0
Basic-direction Query,What is the charted course from VV to CC?,0
Basic-direction Query,What is the compass bearing between VV and CC?,0
Basic-direction Query,What is the compass direction from VV to CC?,0
Basic-direction Query,What is the compass heading from VV to CC?,0
Basic-direction Query,What is the compass point from VV to CC?,0
Basic-direction Query,What is the compass point when traveling from VV to CC?,0
Basic-direction Query,What is the course bearing from VV to CC?,0
Basic-direction Query,What is the course between VV and CC?,0
Basic-direction Query,What is the course from VV to CC?,0
Basic-direction Query,What is the direction from VV to CC?,0
Basic-direction Query,What is the direction from VV to CC?,0
Basic-direction Query,What is the direction if I travel from VV to CC?,0
Basic-direction Query,What is the directional heading from VV to CC?,0
Basic-direction Query,What is the directional route between VV and CC?,0
Basic-direction Query,What is the directional route from VV to CC?,0
Basic-direction Query,What is the heading from VV to CC?,0
Basic-direction Query,What is the heading indicator for VV to CC route?,0
Basic-direction Query,What is the heading to VV from CC?,0
Basic-direction Query,What is the heading when traveling from VV to CC?,0
Basic-direction Query,What is the ideal pathway from VV to CC?,0
Basic-direction Query,What is the most efficient pathfinding route from VV to CC?,0
Basic-direction Query,What is the optimal azimuth from VV to CC?,0
Basic-direction Query,What is the orientation when traveling from VV to CC?,0
Basic-direction Query,What is the preferred heading from VV to CC?,0
Basic-direction Query,What is the recommended orientation from VV to CC?,0
Basic-direction Query,What is the recommended wayfinding route from VV to CC?,0
Basic-direction Query,What is the suggested navigational route from VV to CC?,0
Basic-direction Query,What is the suggested pathfinding route from VV to CC?,0
Basic-direction Query,What is the suggested travel direction from VV to CC?,0
Basic-direction Query,What is the travel direction for the journey from VV to CC?,0
Basic-direction Query,What is the travel direction from VV to CC?,0
Basic-direction Query,What is the way to follow for traveling from VV to CC?,0
Basic-direction Query,What is the way to follow from VV to CC?,0
Basic-direction Query,What route should I take from VV to CC?,0
Basic-direction Query,What would be the compass bearing if I were to travel from VV to CC?,0
Basic-direction Query,What would be the direction if I start at VV and head to CC?,0
Basic-direction Query,What would be the orientation if I travel from VV to CC?,0
Basic-direction Query,What would be the recommended direction from VV to CC?,0
Basic-direction Query,What's the approximate bearing between VV and CC?,0
Basic-direction Query,What's the approximate direction between VV and CC?,0
Basic-direction Query,What's the approximate direction to find the way from VV to CC?,0
Basic-direction Query,What's the approximate directional bearing between VV and CC?,0
Basic-direction Query,What's the approximate directional heading from VV to CC?,0
Basic-direction Query,What's the approximate directional route from VV to CC?,0
Basic-direction Query,What's the approximate heading from VV to CC?,0
Basic-direction Query,What's the approximate pathway between VV and CC?,0
Basic-direction Query,What's the azimuth between VV and CC?,0
Basic-direction Query,What's the basic direction to reach VV from CC?,0
Basic-direction Query,What's the basic directional guidance for traveling from VV to CC?,0
Basic-direction Query,What's the basic heading to reach VV from CC?,0
Basic-direction Query,What's the bearing from VV to CC?,0
Basic-direction Query,What's the broad bearing between VV and CC?,0
Basic-direction Query,What's the broad compass heading from VV to CC?,0
Basic-direction Query,What's the broad compass heading when traveling from VV to CC?,0
Basic-direction Query,What's the broad compass point when traveling from VV to CC?,0
Basic-direction Query,What's the broad heading from VV to CC?,0
Basic-direction Query,What's the broad route map from VV to CC?,0
Basic-direction Query,What's the cardinal direction between VV and CC?,0
Basic-direction Query,What's the compass bearing between VV and CC?,0
Basic-direction Query,What's the compass bearing from VV to CC?,0
Basic-direction Query,What's the compass bearing if I travel from VV to CC?,0
Basic-direction Query,What's the compass direction from VV to CC?,0
Basic-direction Query,What's the compass direction to follow from VV to CC?,0
Basic-direction Query,What's the compass heading when heading towards VV from CC?,0
Basic-direction Query,What's the compass point from VV to CC?,0
Basic-direction Query,What's the direction from VV to CC?,0
Basic-direction Query,What's the directional route between VV and CC?,0
Basic-direction Query,What's the general compass point towards VV from CC?,0
Basic-direction Query,What's the general direction between VV and CC?,0
Basic-direction Query,What's the general direction to reach VV from CC?,0
Basic-direction Query,What's the general heading from VV to CC?,0
Basic-direction Query,What's the general heading to reach VV mall from CC?,0
Basic-direction Query,What's the heading from VV to CC?,0
Basic-direction Query,What's the orientation from VV to CC?,0
Basic-direction Query,What's the orientation when traveling from VV to CC?,0
Basic-direction Query,What's the overall directional heading from VV to CC?,0
Basic-direction Query,What's the recommended compass bearing from VV to CC?,0
Basic-direction Query,What's the simplest way to determine the directional heading from VV to CC?,0
Basic-direction Query,Which way is it from VV to CC?,0
Basic-direction Query,Which way is it from VV to CC?,0
Basic-direction Query,Which way should I head from VV to CC?,0
Basic-direction Query,VV to CC azimuth.,0
Basic-direction Query,VV to CC cardinal direction.,0
Basic-direction Query,VV to CC compass bearing.,0
Basic-direction Query,VV to CC orientation.,0
Basic-direction Query,VV to CC pathway.,0
Basic-direction Query,VV to CC route guidance.,0
Basic-direction Query,VV to CC route map.,0
Basic-direction Query,VV to CC route planner.,0
Basic-direction Query,Give me the direction from VV to CC.,0
Basic-direction Query,I need directions from VV to CC.,0
Basic-direction Query,I need to find the direction from VV to CC.,0
Basic-direction Query,I want to know the direction from VV to CC.,0
Basic-direction Query,I'm curious about the direction from VV to CC.,0
Basic-direction Query,I'm looking for directions from VV to CC.,0
Basic-direction Query,Please tell me the direction to go from VV to CC.,0
Basic-direction Query,Point me in the right direction from VV to CC.,0
Basic-direction Query,VV to CC travel direction.,0
Basic-distance Query,About how far is it from VV to CC?,0
Basic-distance Query,Approximately how far is it from VV to CC?,0
Basic-distance Query,Calculate distance from VV to CC.,0
Basic-distance Query,Calculate the distance between VV and CC.,0
Basic-distance Query,Calculate the distance from VV to CC.,0
Basic-distance Query,Calculate the space between VV and CC.,0
Basic-distance Query,Calculate the spatial separation between VV and CC.,0
Basic-distance Query,Can you estimate the distance between VV and CC?,0
Basic-distance Query,Can you give me a rough estimate of the distance from VV to CC?,0
Basic-distance Query,Can you provide a rough estimate of the distance from VV to CC?,0
Basic-distance Query,Can you provide an estimate of the distance between VV and CC?,0
Basic-distance Query,Can you provide the distance from VV to CC?,0
Basic-distance Query,Can you provide the kilometers between VV and CC?,0
Basic-distance Query,Can you tell me the distance from VV to CC?,0
Basic-distance Query,Can you tell me the mileage between VV and CCC?,0
Basic-distance Query,Compute the distance between VV and CC for me.,0
Basic-distance Query,Could you estimate the distance from VV to CC?,0
Basic-distance Query,Could you give me an approximate mileage from VV to CC?,0
Basic-distance Query,Could you please tell me the approximate distance between VV and CC?,0
Basic-distance Query,Could you provide an estimate of the distance between VV and CC?,0
Basic-distance Query,Determine the spatial distance between VV and CC.,0
Basic-distance Query,Direct me from VV to CC.,0
Basic-distance Query,Distance between VV and CC.,0
Basic-distance Query,Distance calculation between VV and CC.,0
Basic-distance Query,Distance from VV to CC.,0
Basic-distance Query,Distance in kilometers from VV to CC.,0
Basic-distance Query,Distance in meters between VV and CC.,0
Basic-distance Query,Distance in meters from VV to CC.,0
Basic-distance Query,Distance in nautical miles from VV to CC.,0
Basic-distance Query,Distance measurement between VV and CC.,0
Basic-distance Query,Distance measurement for VV and CC.,0
Basic-distance Query,Distance query: VV to CC.,0
Basic-distance Query,Estimate the distance between VV and CC.,0
Basic-distance Query,Find the distance between VV and CC.,0
Basic-distance Query,Find the range between VV and CC.,0
Basic-distance Query,Find the spatial separation between VV and CC.,0
Basic-distance Query,Get the distance in miles between VV and CC.,0
Basic-distance Query,How far apart are VV and CC?,0
Basic-distance Query,"How far is it from VV to CC, measured in kilometers?",0
Basic-distance Query,How far is it from VV to CC?,0
Basic-distance Query,How far is VV from CC?,0
Basic-distance Query,How lengthy is the path from VV to CC?,0
Basic-distance Query,How many feet from VV to CC?,0
Basic-distance Query,How many kilometers is it from VV to CC?,0
Basic-distance Query,How many miles is it from VV to CC?,0
Basic-distance Query,How many nautical miles from VV to CC?,0
Basic-distance Query,Kilometers between VV and CC.,0
Basic-distance Query,Kilometers from VV to CC.,0
Basic-distance Query,Measure the distance between VV and CC.,0
Basic-distance Query,Measure the distance from VV to CC.,0
Basic-distance Query,Measure the gap between VV and CC.,0
Basic-distance Query,Measure the separation between VV and CC.,0
Basic-distance Query,Miles between VV and CC.,0
Basic-distance Query,Miles from VV to CC.,0
Basic-distance Query,The distance between VV and CC is what?,0
Basic-distance Query,What is the distance between VV and CC?,0
Basic-distance Query,What is the estimated distance between VV and CC?,0
Basic-distance Query,What is the rough distance between VV and CC?,0
Basic-distance Query,What's the approximate distance from VV to CC?,0
Basic-distance Query,"What's the distance between VV and CC, measured in kilometers?",0
Basic-distance Query,What's the distance between VV and CC?,0
Basic-distance Query,What's the distance from VV to CC?,0
Basic-distance Query,What's the distance in kilometers between VV and CC?,0
Basic-distance Query,What's the distance in kilometers from VV to CC?,0
Basic-distance Query,What's the distance in miles between VV and CC?,0
Basic-distance Query,What's the mileage between VV and CC?,0
Basic-distance Query,What's the rough distance from VV to CC?,0
Basic-distance Query,What's the span from VV to CC?,0
Basic-distance Query,Which way should I head from VV to CC?,0
Basic-length Query,Can you advise me on the length of LINE in RELI?,1
Basic-length Query,Can you enlighten me about the extent of RELI's LINE?,1
Basic-length Query,Can you enlighten me about the length of RELI's LINE?,1
Basic-length Query,Can you furnish the exact length of LINE in RELI?,1
Basic-length Query,Can you furnish the measurement of LINE's length in RELI?,1
Basic-length Query,Can you furnish the measurement of LINE's main facade in RELI?,1
Basic-length Query,Can you give me the dimensions of LINE in RELI?,1
Basic-length Query,Can you outline the length of LINE in RELI?,1
Basic-length Query,Can you provide details on the exact length of LINE in RELI?,1
Basic-length Query,Can you provide details on the exact length of LINE?,0
Basic-length Query,Can you provide details on the extent of LINE in RELI?,1
Basic-length Query,Can you provide details on the extent of LINE?,0
Basic-length Query,Can you provide details on the length of LINE in RELI?,1
Basic-length Query,Can you provide details on the length of LINE?,0
Basic-length Query,Can you provide insights into the extent of LINE in RELI?,1
Basic-length Query,Can you provide insights into the extent of RELI's LINE?,1
Basic-length Query,Can you provide insights into the length of LINE in RELI?,1
Basic-length Query,Can you provide insights into the length of RELI's LINE?,1
Basic-length Query,Can you provide the exact length of LINE in RELI?,1
Basic-length Query,Can you provide the exact length of LINE?,0
Basic-length Query,Can you provide the measurement of LINE's length in RELI?,1
Basic-length Query,Can you specify the length of LINE in RELI?,1
Basic-length Query,Can you tell me how long LINE is in RELI?,1
Basic-length Query,Can you tell me the distance of LINE in RELI?,1
Basic-length Query,Can you tell me the distance of RELI's LINE?,1
Basic-length Query,Can you tell me the extent of LINE in RELI?,1
Basic-length Query,Can you tell me the extent of LINE?,0
Basic-length Query,Can you tell me the extent of RELI's LINE?,1
Basic-length Query,Can you tell me the length of LINE in RELI?,1
Basic-length Query,Can you tell me the length of LINE?,0
Basic-length Query,Can you tell me the length of RELI's LINE?,1
Basic-length Query,Could you detail the length of REGION's perimeter in RERE?,1
Basic-length Query,Could you enlighten me about the extent of LINE in RELI?,1
Basic-length Query,Could you enlighten me about the length of LINE in RELI?,1
Basic-length Query,Could you enumerate the length of LINE in RELI?,1
Basic-length Query,Could you furnish the exact length of RELI's LINE?,1
Basic-length Query,Could you kindly furnish me with the length details of RELI's LINE?,1
Basic-length Query,Could you please enumerate the length of RERE's REGION perimeter?,1
Basic-length Query,Could you please furnish the specifications for the length of LINE in RELI?,1
Basic-length Query,Could you please provide the length details of LINE in RELI?,1
Basic-length Query,Could you provide details on the length of LINE in RELI?,1
Basic-length Query,Could you provide the distance of LINE in RELI?,1
Basic-length Query,Could you provide the distance of RELI's LINE?,1
Basic-length Query,Could you provide the exact length of LINE in RELI?,1
Basic-length Query,Could you provide the extent of LINE in RELI?,1
Basic-length Query,Could you provide the extent of RELI's LINE?,1
Basic-length Query,Could you provide the length of LINE in RELI?,1
Basic-length Query,Could you provide the length of RELI's LINE?,1
Basic-length Query,Could you tell me the distance of RELI's LINE?,1
Basic-length Query,Could you tell me the length of LINE in RELI?,1
Basic-length Query,Could you tell me the span of REGION in RERE?,1
Basic-length Query,Could you tell me the total length of LINE in RELI?,1
Basic-length Query,How long is LINE in RELI?,1
Basic-length Query,How long is LINE?,0
Basic-length Query,Display all LINE that are 5 km or longer.,0
Basic-length Query,Display all LINE that are 5 kilometer or longer.,0
Basic-length Query,Display all LINE that are 5 kilometers or longer.,0
Basic-length Query,Display all LINE that are 10 km or longer.,0
Basic-length Query,Display all LINE that are 10 kilometer or longer.,0
Basic-length Query,Display all LINE that are 10 kilometers or longer.,0
Basic-length Query,Display all LINE that are 15 km or longer.,0
Basic-length Query,Display all LINE that are 15 kilometer or longer.,0
Basic-length Query,Display all LINE that are 15 kilometers or longer.,0
Basic-length Query,Display all LINE that are 20 km or longer.,0
Basic-length Query,Display all LINE that are 20 kilometer or longer.,0
Basic-length Query,Display all LINE that are 20 kilometers or longer.,0
Basic-length Query,Display all LINE that are 25 km or longer.,0
Basic-length Query,Display all LINE that are 25 kilometer or longer.,0
Basic-length Query,Display all LINE that are 25 kilometers or longer.,0
Basic-length Query,How long is RELI's LINE?,1
Basic-length Query,How long is the ancient LINE in RELI?,1
Basic-length Query,How long is the bustling LINE in RELI?,1
Basic-length Query,How long is the charming LINE in RELI?,1
Basic-length Query,How long is the famous Ancient LINE in RELI?,1
Basic-length Query,How long is the historic LINE in RELI?,1
Basic-length Query,How long is the iconic LINE in RELI?,1
Basic-length Query,How long is the lively LINE in RELI?,1
Basic-length Query,How long is the majestic LINE in RELI?,1
Basic-length Query,How long is the meandering LINE in RELI?,1
Basic-length Query,How long is the picturesque LINE in RELI?,1
Basic-length Query,How long is REGION border line in RERE?,1
Basic-length Query,How long is the scenic LINE in RELI?,1
Basic-length Query,How long is the vibrant LINE in RELI?,1
Basic-length Query,How long is the winding LINE in RELI?,1
Basic-length Query,I'm interested in knowing the entire extent of LINE in RELI.,1
Basic-length Query,I'm interested in the total span of REGION in RERE.,1
Basic-length Query,I'm wondering about the length of LINE in RELI.,1
Basic-length Query,I'm wondering about the overall length of LINE in RELI.,1
Basic-length Query,Length of RELI's LINE?,1
Basic-length Query,LINE in RELI length?,1
Basic-length Query,Please advise me on the exact length of LINE in RELI.,1
Basic-length Query,Please advise me on the length of LINE in RELI.,1
Basic-length Query,Please enumerate the dimensions of LINE in RELI.,1
Basic-length Query,Please give me the measurement of LINE's length in RELI.,1
Basic-length Query,Please provide insights into the distance of LINE in RELI.,1
Basic-length Query,Please provide insights into the distance of RELI's LINE.,1
Basic-length Query,Please provide insights into the extent of LINE in RELI.,1
Basic-length Query,Please provide insights into the extent of RELI's LINE.,1
Basic-length Query,Please provide insights into the length of LINE in RELI.,1
Basic-length Query,Please provide insights into the length of RELI's LINE.,1
Basic-length Query,Please provide the distance of RELI's LINE.,1
Basic-length Query,Please provide the exact extent of LINE in RELI.,1
Basic-length Query,Please provide the extent of LINE in RELI.,1
Basic-length Query,Please provide the extent of RELI's LINE.,1
Basic-length Query,Please provide the length of LINE in RELI.,1
Basic-length Query,Please tell me the distance of RELI's LINE.,1
Basic-length Query,Please tell me the extent of LINE in RELI.,1
Basic-length Query,Please tell me the length of LINE in RELI.,1
Basic-length Query,Provide the extent of RELI's LINE.,1
Basic-length Query,Provide the length details of RELI's LINE.,1
Basic-length Query,Provide the length details of REGION's perimeter in RERE.,1
Basic-length Query,RELI's LINE extent?,1
Basic-length Query,RELI's LINE length?,1
Basic-length Query,What is the extent of RELI's LINE?,1
Basic-length Query,What is the length of RELI's LINE?,1
Basic-length Query,What is the overall length of LINE in RELI?,1
Basic-length Query,What is the overall span of LINE from its source to mouth in RELI?,1
Basic-length Query,What is the total length of LINE in RELI?,1
Basic-length Query,What's the distance along LINE in RELI?,1
Basic-length Query,What's the distance covered by LINE in RELI?,1
Basic-length Query,What's the distance of LINE in RELI?,1
Basic-length Query,What's the distance of RELI's LINE?,1
Basic-length Query,What's the extent of LINE in RELI?,1
Basic-length Query,What's the extent of RELI's LINE?,1
Basic-length Query,What's the length of LINE in RELI?,1
Basic-length Query,What's the length of RELI's LINE?,1
Basic-length Query,What's the total length of LINE in RELI?,1
Basic-length Query,What's the total span of LINE in RELI?,1
Distance Join Query,Are there any LINE within X kilometers of each LINE?,0
Distance Join Query,Are there any LINE within X kilometers of each POINT?,0
Distance Join Query,Are there any LINE within X kilometers of each REGION?,0
Distance Join Query,Are there any POINT within X kilometers of each LINE?,0
Distance Join Query,Are there any POINT within X kilometers of each POINT?,0
Distance Join Query,Are there any POINT within X kilometers of each POINT?,0
Distance Join Query,Are there any POINT within X kilometers of each REGION?,0
Distance Join Query,Are there any POINT within X kilometers of each REGION?,0
Distance Join Query,Are there any REGION within X kilometers of each LINE?,0
Distance Join Query,Are there any REGION within X kilometers of each POINT?,0
Distance Join Query,Are there any REGION within X kilometers of each POINT?,0
Distance Join Query,Are there any REGION within X kilometers of each REGION?,0
Distance Join Query,Are there any REGION within X kilometers of each REGION?,0
Distance Join Query,Calculate the driving distance from LINE to LINE in RELI.,1
Distance Join Query,Calculate the driving distance from LINE to POINT in REPO.,1
Distance Join Query,Calculate the driving distance from LINE to REGION in RERE.,1
Distance Join Query,Calculate the driving distance from POINT to LINE in RELI.,1
Distance Join Query,Calculate the driving distance from POINT to POINT in REPO.,1
Distance Join Query,Calculate the driving distance from POINT to REGION in RERE.,1
Distance Join Query,Calculate the driving distance from REGION to LINE in RELI.,1
Distance Join Query,Calculate the driving distance from REGION to POINT in REPO.,1
Distance Join Query,Calculate the driving distance from REGION to REGION in RERE.,1
Distance Join Query,Can you provide the flight distance from LINE to LINE in RELI.,1
Distance Join Query,Can you provide the flight distance from LINE to POINT in REPO.,1
Distance Join Query,Can you provide the flight distance from LINE to REGION in RERE.,1
Distance Join Query,Can you provide the flight distance from POINT to LINE in RELI.,1
Distance Join Query,Can you provide the flight distance from POINT to POINT in REPO.,1
Distance Join Query,Can you provide the flight distance from POINT to REGION in RERE.,1
Distance Join Query,Can you provide the flight distance from REGION to LINE in RELI.,1
Distance Join Query,Can you provide the flight distance from REGION to POINT in REPO.,1
Distance Join Query,Can you provide the flight distance from REGION to REGION in RERE.,1
Distance Join Query,Can you recommend any LINE within X kilometer of each LINE?,0
Distance Join Query,Can you recommend any LINE within X kilometer of each POINT?,0
Distance Join Query,Can you recommend any LINE within X kilometer of each REGION?,0
Distance Join Query,Can you recommend any LINE within X kilometers of each LINE?,0
Distance Join Query,Can you recommend any LINE within X kilometers of each POINT?,0
Distance Join Query,Can you recommend any LINE within X kilometers of each REGION?,0
Distance Join Query,Can you recommend any POINT within X kilometer of each LINE?,0
Distance Join Query,Can you recommend any POINT within X kilometer of each POINT?,0
Distance Join Query,Can you recommend any POINT within X kilometer of each REGION?,0
Distance Join Query,Can you recommend any POINT within X kilometers of each LINE?,0
Distance Join Query,Can you recommend any POINT within X kilometers of each POINT?,0
Distance Join Query,Can you recommend any POINT within X kilometers of each REGION?,0
Distance Join Query,Can you recommend any REGION within X kilometer of each LINE?,0
Distance Join Query,Can you recommend any REGION within X kilometer of each POINT?,0
Distance Join Query,Can you recommend any REGION within X kilometer of each REGION?,0
Distance Join Query,Can you recommend any REGION within X kilometers of each LINE?,0
Distance Join Query,Can you recommend any REGION within X kilometers of each POINT?,0
Distance Join Query,Can you recommend any REGION within X kilometers of each REGION?,0
Distance Join Query,Can you suggest any LINE within X kilometers of each LINE?,0
Distance Join Query,Can you suggest any LINE within X kilometers of each LINE?,0
Distance Join Query,Can you suggest any LINE within X kilometers of each POINT?,0
Distance Join Query,Can you suggest any LINE within X kilometers of each POINT?,0
Distance Join Query,Can you suggest any LINE within X kilometers of each REGION?,0
Distance Join Query,Can you suggest any LINE within X kilometers of each REGION?,0
Distance Join Query,Can you suggest any POINT within X kilometers of each LINE?,0
Distance Join Query,Can you suggest any POINT within X kilometers of each LINE?,0
Distance Join Query,Can you suggest any POINT within X kilometers of each POINT?,0
Distance Join Query,Can you suggest any POINT within X kilometers of each POINT?,0
Distance Join Query,Can you suggest any POINT within X kilometers of each REGION?,0
Distance Join Query,Can you suggest any POINT within X kilometers of each REGION?,0
Distance Join Query,Can you suggest any REGION within X kilometers of each LINE?,0
Distance Join Query,Can you suggest any REGION within X kilometers of each LINE?,0
Distance Join Query,Can you suggest any REGION within X kilometers of each POINT?,0
Distance Join Query,Can you suggest any REGION within X kilometers of each POINT?,0
Distance Join Query,Can you suggest any REGION within X kilometers of each REGION?,0
Distance Join Query,Can you suggest any REGION within X kilometers of each REGION?,0
Distance Join Query,Could you provide information on the LINE within X kilometers of each LINE?,0
Distance Join Query,Could you provide information on the LINE within X kilometers of each POINT?,0
Distance Join Query,Could you provide information on the LINE within X kilometers of each REGION?,0
Distance Join Query,Could you provide information on the POINT within X kilometers of each LINE?,0
Distance Join Query,Could you provide information on the POINT within X kilometers of each POINT?,0
Distance Join Query,Could you provide information on the POINT within X kilometers of each REGION?,0
Distance Join Query,Could you provide information on the REGION within X kilometers of each LINE?,0
Distance Join Query,Could you provide information on the REGION within X kilometers of each POINT?,0
Distance Join Query,Could you provide information on the REGION within X kilometers of each REGION?,0
Distance Join Query,Could you tell me which LINE are within X kilometer of each LINE?,0
Distance Join Query,Could you tell me which LINE are within X kilometer of each POINT?,0
Distance Join Query,Could you tell me which LINE are within X kilometer of each REGION?,0
Distance Join Query,Could you tell me which POINT are within X kilometer of each LINE?,0
Distance Join Query,Could you tell me which POINT are within X kilometer of each POINT?,0
Distance Join Query,Could you tell me which POINT are within X kilometer of each REGION?,0
Distance Join Query,Could you tell me which REGION are within X kilometer of each LINE?,0
Distance Join Query,Could you tell me which REGION are within X kilometer of each POINT?,0
Distance Join Query,Could you tell me which REGION are within X kilometer of each REGION?,0
Distance Join Query,Determine the travel time from LINE to LINE in RELI.,1
Distance Join Query,Determine the travel time from LINE to POINT in REPO.,1
Distance Join Query,Determine the travel time from LINE to REGION in RERE.,1
Distance Join Query,Determine the travel time from POINT to LINE in RELI.,1
Distance Join Query,Determine the travel time from POINT to POINT in REPO.,1
Distance Join Query,Determine the travel time from POINT to REGION in RERE.,1
Distance Join Query,Determine the travel time from REGION to LINE in RELI.,1
Distance Join Query,Determine the travel time from REGION to POINT in REPO.,1
Distance Join Query,Determine the travel time from REGION to REGION in RERE.,1
Distance Join Query,"Find the closest LINE to each LINE, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest LINE to each POINT, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest LINE to each REGION, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest POINT to each LINE, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest POINT to each POINT, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest POINT to each REGION, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest REGION to each LINE, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest REGION to each POINT, considering a maximum distance of X miles.",0
Distance Join Query,"Find the closest REGION to each REGION, considering a maximum distance of X miles.",0
Distance Join Query,Find the distance between LINE to LINE in RELI.,1
Distance Join Query,Find the distance between LINE to POINT in REPO.,1
Distance Join Query,Find the distance between LINE to REGION in RERE.,1
Distance Join Query,Find the distance between POINT to LINE in RELI.,1
Distance Join Query,Find the distance between POINT to POINT in REPO.,1
Distance Join Query,Find the distance between POINT to REGION in RERE.,1
Distance Join Query,Find the distance between REGION to LINE in RELI.,1
Distance Join Query,Find the distance between REGION to POINT in REPO.,1
Distance Join Query,Find the distance between REGION to REGION in RERE.,1
Distance Join Query,Identify the LINE within X kilometers of each LINE.,0
Distance Join Query,Identify the LINE within X kilometers of each POINT.,0
Distance Join Query,Identify the LINE within X kilometers of each REGION.,0
Distance Join Query,Identify the POINT within X kilometers of each LINE.,0
Distance Join Query,Identify the POINT within X kilometers of each POINT.,0
Distance Join Query,Identify the POINT within X kilometers of each REGION.,0
Distance Join Query,Identify the REGION within X kilometers of each LINE.,0
Distance Join Query,Identify the REGION within X kilometers of each POINT.,0
Distance Join Query,Identify the REGION within X kilometers of each REGION.,0
Distance Join Query,I'm interested in knowing the nearby LINE are within X kilometer of each LINE.,0
Distance Join Query,I'm interested in knowing the nearby LINE are within X kilometer of each POINT.,0
Distance Join Query,I'm interested in knowing the nearby LINE are within X kilometer of each REGION.,0
Distance Join Query,I'm interested in knowing the nearby POINT are within X kilometer of each LINE.,0
Distance Join Query,I'm interested in knowing the nearby POINT are within X kilometer of each POINT.,0
Distance Join Query,I'm interested in knowing the nearby POINT are within X kilometer of each REGION.,0
Distance Join Query,I'm interested in knowing the nearby REGION are within X kilometer of each LINE.,0
