cat,query,relations,entities
Aggregation-max Query,Which Landstrassen interchange experiences the highest amount of RBahn intersections?,"['Landstrassen', 'RBahn']",[]
Aggregation-max Query,"Among all WFlaechen, which one has the most convergence of paths?",['WFlaechen'],[]
Aggregation-max Query,Which UBahn interchange experiences the highest amount of PLZBoundaries intersections?,"['UBahn', 'PLZBoundaries']",[]
Aggregation-max Query,Which Landstrassen interchange experiences the highest amount of PLZBoundaries intersections?,"['Landstrassen', 'PLZBoundaries']",[]
Aggregation-max Query,Which Wasserumland2 has the highest number of Brandenburg - Nauen crossing within its boundaries?,['Wasserumland2'],['Brandenburg - Nauen']
Aggregation-max Query,Which Flaechen intersects the largest area with Der Weiße See?,['Flaechen'],['Der Weiße See']
Aggregation-max Query,Which WFlaechen has the most extensive intersection with Tiergarten?,['WFlaechen'],['Tiergarten']
Aggregation-max Query,"Among all Flaechen, which one has the highest concentration of road intersections?",['Flaechen'],[]
Aggregation-max Query,Which Flaechen reserve has the most significant overlap with Insel der Jugend?,['Flaechen'],['Insel der Jugend']
Aggregation-max Query,Which Sehenswuerdreg encompasses the largest area where Charité-Krankenhaus intersects?,['Sehenswuerdreg'],['Charité-Krankenhaus']
Aggregation-max Query,"Among all RBahn, which one experiences the most intersections of roads?",['RBahn'],[]
Aggregation-max Query,Which Flaechen has the most extensive intersection with Volkspark Friedrichshain?,['Flaechen'],['Volkspark Friedrichshain']
Aggregation-max Query,Which Flaechen has the most significant intersection with Hundekehlesee?,['Flaechen'],['Hundekehlesee']
Aggregation-max Query,Which WFlaechen has the largest area of intersecting Gemeindepark Lankwitz?,['WFlaechen'],['Gemeindepark Lankwitz']
Aggregation-max Query,Which RBahnhof is crossed by the most number of WStrassen?,"['RBahnhof', 'WStrassen']",[]
Aggregation-max Query,Which Flaechen range intersects the most extensive territory with Fritz-Schloß-Park?,['Flaechen'],['Fritz-Schloß-Park']
Aggregation-max Query,Which Sehenswuerdreg has the most intersection points compared to others?,['Sehenswuerdreg'],[]
Aggregation-max Query,Which Sehenswuerdreg has the greatest number of PLZBoundaries meeting within its premises?,"['Sehenswuerdreg', 'PLZBoundaries']",[]
Aggregation-max Query,Which Sehenswuerdreg has the highest number of Wasserumland2 crossing within its boundaries?,"['Sehenswuerdreg', 'Wasserumland2']",[]
Aggregation-max Query,Which Flaechen overlaps the largest area with Friedrich-Ludwig-Jahn-Sportpark?,['Flaechen'],['Friedrich-Ludwig-Jahn-Sportpark']
Aggregation-max Query,Which Flaechen intersects the largest area with Kammergericht?,['Flaechen'],['Kammergericht']
Aggregation-max Query,Which Wasserumland2 interchange experiences the highest amount of WStrassen intersections?,"['Wasserumland2', 'WStrassen']",[]
Aggregation-max Query,"Among all Sehenswuerdreg, which one has the largest number of rivers and paths crossing one another?",['Sehenswuerdreg'],[]
Aggregation-max Query,Which Flaechen encompasses the largest area at the intersection of Königsheide?,['Flaechen'],['Königsheide']
Aggregation-max Query,Which WFlaechen occupies the most substantial area at the intersection of Zitadelle?,['WFlaechen'],['Zitadelle']
Aggregation-max Query,Which Flaechen has the most intersecting WStrassen?,"['Flaechen', 'WStrassen']",[]
Aggregation-max Query,Which WFlaechen encompasses the largest area at the intersection of Auguste-Vikoria-Krankenhaus?,['WFlaechen'],['Auguste-Vikoria-Krankenhaus']
Aggregation-max Query,Which Sehenswuerdreg encompasses the largest area where Humboldt-Universität intersects?,['Sehenswuerdreg'],['Humboldt-Universität']
Aggregation-max Query,Which WFlaechen intersects the most extensive territory with Volkspark Mariendorf?,['WFlaechen'],['Volkspark Mariendorf']
Aggregation-max Query,What Sehenswuerdreg offers the most Flaechen?,"['Sehenswuerdreg', 'Flaechen']",[]
Aggregation-max Query,"Among Flaechen, which one has the greatest extent of intersection with Schauspielhaus?",['Flaechen'],['Schauspielhaus']
Aggregation-max Query,"Among all SBahn, which one has the highest stream intersection density?",['SBahn'],[]
Aggregation-max Query,Which strassen interchange has the largest number of WStrassen intersecting within its boundaries?,"['strassen', 'WStrassen']",[]
Aggregation-max Query,Among Flaechen which one has the most RBahn converging?,"['Flaechen', 'RBahn']",[]
Aggregation-max Query,Which Flaechen has the most significant intersection with Rathaus Spandau?,['Flaechen'],['Rathaus Spandau']
Aggregation-max Query,Which UBahn interchange experiences the highest amount of PLZBoundaries intersections?,"['UBahn', 'PLZBoundaries']",[]
Aggregation-max Query,Which UBahn has the most intersecting Landstrassen2?,"['UBahn', 'Landstrassen2']",[]
Aggregation-max Query,"Among all Sehenswuerdreg, which one has the highest concentration of road intersections?",['Sehenswuerdreg'],[]
Aggregation-max Query,Which WFlaechen has the most extensive intersection with Thielpark?,['WFlaechen'],['Thielpark']
Aggregation-max Query,Which poi is crossed by the most number of Landstrassen2?,"['poi', 'Landstrassen2']",[]
Aggregation-max Query,Which Flaechen overlaps the largest area with Prinz-Friedrich-Leopold-Kanal?,['Flaechen'],['Prinz-Friedrich-Leopold-Kanal']
Aggregation-max Query,Which strassen interchange has the largest number of road intersecting within its boundaries?,"['strassen', 'road']",[]
Aggregation-max Query,Which Landstrassen has the most intersection points compared to others?,['Landstrassen'],[]
Aggregation-max Query,"Among all road, which one has the highest stream intersection density?",['road'],[]
Aggregation-max Query,Which WFlaechen overlaps the largest territory with Schloßpark Tegel?,['WFlaechen'],['Schloßpark Tegel']
Aggregation-max Query,Which Sehenswuerdreg encounters the highest number of crossing points for WStrassen?,"['Sehenswuerdreg', 'WStrassen']",[]
Aggregation-max Query,Which Flaechen has the largest number of Landstrassen2 intersecting within its boundaries?,"['Flaechen', 'Landstrassen2']",[]
Aggregation-max Query,Which Flaechen has the most extensive intersection with Rummelsburger See?,['Flaechen'],['Rummelsburger See']
Aggregation-max Query,Which Sehenswuerdreg has the largest overlapping area with Scharfe Lanke?,['Sehenswuerdreg'],['Scharfe Lanke']
Aggregation-max Query,Among Sehenswuerdreg which one has the most Landstrassen converging?,"['Sehenswuerdreg', 'Landstrassen']",[]
Aggregation-sum Query,Can you provide the total water area of all WFlaechen in Buga-Gelände?,['WFlaechen'],['Buga-Gelände']
Aggregation-sum Query,Give the total number of # in Neue Nationalgalerie.,[],['Neue Nationalgalerie']
Aggregation-sum Query,Find the sum of the lengths of all Wasserumland2 in Havel.,['Wasserumland2'],['Havel']
Aggregation-sum Query,Can you provide the aggregate area of all Sehenswuerdreg intersecting Baumwerder?,['Sehenswuerdreg'],['Baumwerder']
Aggregation-sum Query,I am interested in the aggregate land area of all Sehenswuerdreg in Bodemuseum.,['Sehenswuerdreg'],['Bodemuseum']
Aggregation-sum Query,How much land area is shared between WFlaechen and Berliner Forst Düppel?,['WFlaechen'],['Berliner Forst Düppel']
Aggregation-sum Query,I am interested in the aggregate water area of all Sehenswuerdreg in Grimnitzsee.,['Sehenswuerdreg'],['Grimnitzsee']
Aggregation-sum Query,Can you provide the aggregate area of all Flaechen intersecting Dahme?,['Flaechen'],['Dahme']
Aggregation-sum Query,List the sum of # in Goethepark.,[],['Goethepark']
Aggregation-sum Query,Can you provide the combined surface area of all SBahn that intersect Forckenbeckstr.?,['SBahn'],['Forckenbeckstr.']
Aggregation-sum Query,List the total area covered by Flaechen in Herthasee.,['Flaechen'],['Herthasee']
Aggregation-sum Query,Please provide the aggregate area of all Flaechen intersecting Martin-Gropius-Bau.,['Flaechen'],['Martin-Gropius-Bau']
Aggregation-sum Query,Find the sum of the lengths of all Wasserumland2 in Goethepark.,['Wasserumland2'],['Goethepark']
Aggregation-sum Query,I would like to know the total area of all Flaechen in Krumme Lanke.,['Flaechen'],['Krumme Lanke']
Aggregation-sum Query,I would like to know the total land area covered by all WFlaechen in Prinz-Friedrich-Leopold-Kanal.,['WFlaechen'],['Prinz-Friedrich-Leopold-Kanal']
Aggregation-sum Query,What is the sum of all # in Berliner Stadtforst Köpenick?,[],['Berliner Stadtforst Köpenick']
Aggregation-sum Query,Can you provide the total number of # in Liebesinsel?,[],['Liebesinsel']
Aggregation-sum Query,Please determine the aggregate land area of all Flaechen within Französischer Dom.,['Flaechen'],['Französischer Dom']
Aggregation-sum Query,What is the sum of # in Flughafen Schönefeld?,[],['Flughafen Schönefeld']
Aggregation-sum Query,Calculate the combined area of all Sehenswuerdreg in Orankesee.,['Sehenswuerdreg'],['Orankesee']
Aggregation-sum Query,Give the total number of # in Thielpark.,[],['Thielpark']
Aggregation-sum Query,I would like to know the total land area of all Sehenswuerdreg in Krankenhaus Am Urban.,['Sehenswuerdreg'],['Krankenhaus Am Urban']
Aggregation-sum Query,I am interested in the aggregate land area of all Flaechen in Grunewaldsee.,['Flaechen'],['Grunewaldsee']
Aggregation-sum Query,What is the combined extent of all Sehenswuerdreg in Eissporthalle?,['Sehenswuerdreg'],['Eissporthalle']
Aggregation-sum Query,Calculate the total length of all SBahn in Die Banke.,['SBahn'],['Die Banke']
Aggregation-sum Query,Can you provide the combined area of all # in Trattoria Petrocelli?,[],['Trattoria Petrocelli']
Aggregation-sum Query,List the sum of # in Groß Friedenwalde.,[],['Groß Friedenwalde']
Aggregation-sum Query,Calculate the sum of all # in Waldhaus .,[],['Waldhaus ']
Aggregation-sum Query,Find the sum of the lengths of all PLZBoundaries in Schloßgarten Charlottenburg.,['PLZBoundaries'],['Schloßgarten Charlottenburg']
Aggregation-sum Query,Can you provide the total water area of all WFlaechen in Flughafen Tempelhof?,['WFlaechen'],['Flughafen Tempelhof']
Aggregation-sum Query,I would like to know the total water area covered by all Flaechen in Tiergarten.,['Flaechen'],['Tiergarten']
Aggregation-sum Query,Can you give me the combined area of all Sehenswuerdreg in Messelpark?,['Sehenswuerdreg'],['Messelpark']
Aggregation-sum Query,Find the sum of the lengths of all strassen in Landschaftspark Wuhletal (Biesdorfer Berg).,['strassen'],['Landschaftspark Wuhletal (Biesdorfer Berg)']
Aggregation-sum Query,Compute the sum of # in Haus der Kulturen (Kongreßhalle).,[],['Haus der Kulturen (Kongreßhalle)']
Aggregation-sum Query,What is the collective length of all strassen in Butzer See?,['strassen'],['Butzer See']
Aggregation-sum Query,List the total length of all RBahn in Goethepark.,['RBahn'],['Goethepark']
Aggregation-sum Query,What is the total length of all PLZBoundaries in Schlesischer Busch?,['PLZBoundaries'],['Schlesischer Busch']
Aggregation-sum Query,Can you tell me the combined water area of all Sehenswuerdreg in Langer See (Dahme)?,['Sehenswuerdreg'],['Langer See (Dahme)']
Aggregation-sum Query,Please provide the aggregate area of all Sehenswuerdreg in Kleiner Kuhwall.,['Sehenswuerdreg'],['Kleiner Kuhwall']
Aggregation-sum Query,What is the total length of WStrassen in Sacrower Lanke?,['WStrassen'],['Sacrower Lanke']
Aggregation-sum Query,Give me the total value of # from Strehla.,[],['Strehla']
Aggregation-sum Query,Can you provide the total number of # in Böcklerpark?,[],['Böcklerpark']
Aggregation-sum Query,Give the total number of # in Bröllin.,[],['Bröllin']
Aggregation-sum Query,Please provide the total area of all WFlaechen intersecting Großer Kuhwall.,['WFlaechen'],['Großer Kuhwall']
Aggregation-sum Query,Can you tell me the aggregate area of all WFlaechen in Hasenheide?,['WFlaechen'],['Hasenheide']
Aggregation-sum Query,What is the total area covered by WFlaechen in Nikolaikirche?,['WFlaechen'],['Nikolaikirche']
Aggregation-sum Query,Can you tell me the sum of all # in Freizeitpark Tegel?,[],['Freizeitpark Tegel']
Aggregation-sum Query,Can you provide the sum of # in Prinz-Friedrich-Leopold-Kanal?,[],['Prinz-Friedrich-Leopold-Kanal']
Aggregation-sum Query,Can you provide the combined area of all WFlaechen in Baggersee Biesdorf?,['WFlaechen'],['Baggersee Biesdorf']
Aggregation-sum Query,Please determine the aggregate water area of all Flaechen within Landschaftspark Wuhletal.,['Flaechen'],['Landschaftspark Wuhletal']
Aggregation-sum Query,Give me the total value of # from UFA-Palast Kosmos.,[],['UFA-Palast Kosmos']
Aggregation-sum Query,I would like to know the total water area covered by all Flaechen in Jungfernheide.,['Flaechen'],['Jungfernheide']
Aggregation-sum Query,Compute the sum of # in Bohemia.,[],['Bohemia']
Aggregation-sum Query,Can you provide the combined surface area of all WStrassen that intersect Räbel - Seehausen?,['WStrassen'],['Räbel - Seehausen']
Aggregation-sum Query,Please provide the total area of all WFlaechen in Berliner Forst Düppel.,['WFlaechen'],['Berliner Forst Düppel']
Aggregation-sum Query,Give me the total value of # from Strasburg.,[],['Strasburg']
Aggregation-sum Query,I would like to know the total water area of all Flaechen in Neue Nationalgalerie.,['Flaechen'],['Neue Nationalgalerie']
Aggregation-sum Query,What is the accumulated number of # in Holländisches Viertel?,[],['Holländisches Viertel']
Aggregation-sum Query,Can you give me the combined area of all Sehenswuerdreg in Sacrower Lanke?,['Sehenswuerdreg'],['Sacrower Lanke']
Aggregation-sum Query,I would like to know the total area of all WFlaechen in Maselake.,['WFlaechen'],['Maselake']
Aggregation-sum Query,I am interested in the combined water area of all Sehenswuerdreg within Tempodrom.,['Sehenswuerdreg'],['Tempodrom']
Aggregation-sum Query,Calculate the aggregate length of all PLZBoundaries in Scharfe Lanke.,['PLZBoundaries'],['Scharfe Lanke']
Aggregation-sum Query,What is the sum of # in Butzer See?,[],['Butzer See']
Aggregation-sum Query,Can you provide the aggregate land area of all # in Schmiedeberg?,[],['Schmiedeberg']
Aggregation-sum Query,How much land area is shared between Sehenswuerdreg and Hufeisensiedlung?,['Sehenswuerdreg'],['Hufeisensiedlung']
Aggregation-sum Query,What is the total length of all Wasserumland2 in Erholungspark Marzahn (Kienberg)?,['Wasserumland2'],['Erholungspark Marzahn (Kienberg)']
Aggregation-sum Query,I would like to know the total land area covered by all Sehenswuerdreg in Friedrchstadtpalast.,['Sehenswuerdreg'],['Friedrchstadtpalast']
Aggregation-sum Query,Compute the total area of Flaechen in Spree.,['Flaechen'],['Spree']
Aggregation-sum Query,Compute the aggregate # in Köllnische Heide.,[],['Köllnische Heide']
Aggregation-sum Query,Can you calculate the total area of all Flaechen intersecting Hochmeisterplatz Range?,['Flaechen'],['Hochmeisterplatz']
Aggregation-sum Query,Can you provide the combined area of all Flaechen in Freizeitpark Marienfelde?,['Flaechen'],['Freizeitpark Marienfelde']
Aggregation-sum Query,Compute the total area of WFlaechen in Wuhlheide (Volkspark und FEZ).,['WFlaechen'],['Wuhlheide (Volkspark und FEZ)']
Aggregation-sum Query,Can you provide the sum of all # production in Spree?,[],['Spree']
Aggregation-sum Query,What is the total length of road in Kongreßhalle?,['road'],['Kongreßhalle']
Aggregation-sum Query,List the sum of # in Biscotti.,[],['Biscotti']
Aggregation-sum Query,Calculate the total # in Paul-Löbe-Haus.,[],['Paul-Löbe-Haus']
Aggregation-sum Query,List the total number of # in Jungfernheide.,[],['Jungfernheide']
Aggregation-sum Query,What is the combined extent of all WFlaechen in Aalemannkanal?,['WFlaechen'],['Aalemannkanal']
Aggregation-sum Query,I would like to know the total water area covered by all Sehenswuerdreg in Rathaus Charlottenburg.,['Sehenswuerdreg'],['Rathaus Charlottenburg']
Aggregation-sum Query,Can you provide the aggregate area of all WFlaechen intersecting Raoul-Wallenberg-Str.?,['WFlaechen'],['Raoul-Wallenberg-Str.']
Aggregation-sum Query,Give me the total value of # from Aquarium.,[],['Aquarium']
Aggregation-sum Query,What is the total number of Sehenswuerdreg in Badesee Arkenberge?,['Sehenswuerdreg'],['Badesee Arkenberge']
Aggregation-sum Query,Can you provide the aggregate land area of all # in Schloßpark Köpenick?,[],['Schloßpark Köpenick']
Aggregation-sum Query,Can you provide the total area of Flaechen in Der Weiße See?,['Flaechen'],['Der Weiße See']
Aggregation-sum Query,Give the total number of # in Bäkepark.,[],['Bäkepark']
Aggregation-sum Query,What is the total number of Sehenswuerdreg in Park Babelsberg?,['Sehenswuerdreg'],['Park Babelsberg']
Aggregation-sum Query,I would like to know the total land area covered by all Flaechen in Botanischer Garten.,['Flaechen'],['Botanischer Garten']
Aggregation-sum Query,Give me the total value of # from Limit.,[],['Limit']
Aggregation-sum Query,Please provide the total area of all WFlaechen intersecting Messelpark.,['WFlaechen'],['Messelpark']
Aggregation-sum Query,What is the combined # in Hundekehlesee?,[],['Hundekehlesee']
Aggregation-sum Query,Calculate the total Flaechen area in Museum für Naturkunde.,['Flaechen'],['Museum für Naturkunde']
Aggregation-sum Query,Can you provide the combined surface area of all PLZBoundaries that intersect Buckower Chaussee?,['PLZBoundaries'],['Buckower Chaussee']
Aggregation-sum Query,How much land area is shared between Flaechen and Schloß Britz?,['Flaechen'],['Schloß Britz']
Aggregation-sum Query,I am interested in the combined area of all Sehenswuerdreg within Marienkirche.,['Sehenswuerdreg'],['Marienkirche']
Aggregation-sum Query,Can you tell me the combined water area of all WFlaechen in Tierpark Friedrichsfelde?,['WFlaechen'],['Tierpark Friedrichsfelde']
Aggregation-sum Query,Calculate the total length of all Wasserumland2 in Gutspark Britz.,['Wasserumland2'],['Gutspark Britz']
Aggregation-sum Query,What is the total sum of Flaechen in Großer Wannsee?,['Flaechen'],['Großer Wannsee']
Aggregation-sum Query,Can you provide the sum of # in Calau?,[],['Calau']
Aggregation-sum Query,What is the total length of PLZBoundaries in Hochmeisterplatz?,['PLZBoundaries'],['Hochmeisterplatz']
Aggregation-sum Query,Can you provide the total length of all WStrassen in Britzer Garten?,['WStrassen'],['Britzer Garten']
Aggregation-sum Query,Can you tell me the total area covered by lakes in Scharfenberg?,[],['Scharfenberg']
Aggregation-sum Query,What is the combined extent of all WFlaechen in Charité-Krankenhaus?,['WFlaechen'],['Charité-Krankenhaus']
Aggregation-sum Query,Please provide the total area of all Sehenswuerdreg intersecting Flughafen Tegel.,['Sehenswuerdreg'],['Flughafen Tegel']
Aggregation-sum Query,Can you provide the sum of all # production in Deutscher Dom?,[],['Deutscher Dom']
Aggregation-sum Query,List the total area covered by Sehenswuerdreg in Westhafen.,['Sehenswuerdreg'],['Westhafen']
Aggregation-sum Query,Provide the total number of # in Spree.,[],['Spree']
Aggregation-sum Query,Can you tell me the total number of # in Velodrom (Berlin Arena)?,[],['Velodrom (Berlin Arena)']
Aggregation-sum Query,What is the total number of Sehenswuerdreg in Springpfuhl?,['Sehenswuerdreg'],['Springpfuhl']
Aggregation-sum Query,Calculate the sum of all # in Staatsbibliothek.,[],['Staatsbibliothek']
Aggregation-sum Query,Please determine the combined area of all Sehenswuerdreg within Fennpfuhl.,['Sehenswuerdreg'],['Fennpfuhl']
Aggregation-sum Query,I am interested in the combined land area of all WFlaechen within Wilhelm-Foerster-Sternwarte.,['WFlaechen'],['Wilhelm-Foerster-Sternwarte']
Aggregation-sum Query,Give me the total value of # from Café Savarin.,[],['Café Savarin']
Aggregation-sum Query,Please determine the combined area of all Sehenswuerdreg within Barssee.,['Sehenswuerdreg'],['Barssee']
Aggregation-sum Query,Can you provide the sum of # in Baerwaldstr.?,[],['Baerwaldstr.']
Aggregation-sum Query,How much land area is shared between Sehenswuerdreg and Tierpark Friedrichsfelde?,['Sehenswuerdreg'],['Tierpark Friedrichsfelde']
Aggregation-sum Query,Can you provide the total number of # in Volkspark Friedrichshain?,[],['Volkspark Friedrichshain']
Aggregation-sum Query,List the sum of # in Pankow.,[],['Pankow']
Aggregation-sum Query,Give me the total value of # from Museum für Naturkunde.,[],['Museum für Naturkunde']
Aggregation-sum Query,Can you give me the combined area of all Sehenswuerdreg in Heinrich-von-Kleist-Park?,['Sehenswuerdreg'],['Heinrich-von-Kleist-Park']
Aggregation-sum Query,Compute the sum of all # in Forckenbeckplatz.,[],['Forckenbeckplatz']
Aggregation-sum Query,Can you tell me the total area covered by lakes in Ernst-Thälmann-Park?,[],['Ernst-Thälmann-Park']
Aggregation-sum Query,Can you provide the aggregate land area of all # in Tiandi travel agency?,[],['Tiandi travel agency']
Aggregation-sum Query,Calculate the total area of all Sehenswuerdreg located within Forsthaus Nikolskoe.,['Sehenswuerdreg'],['Forsthaus Nikolskoe']
Aggregation-sum Query,Provide the sum of # in Jürgenlanke.,[],['Jürgenlanke']
Aggregation-sum Query,Please provide the aggregate area of all Sehenswuerdreg intersecting Rathaus Spandau.,['Sehenswuerdreg'],['Rathaus Spandau']
Aggregation-sum Query,I am interested in the aggregate area of all Flaechen in Planetarium.,['Flaechen'],['Planetarium']
Aggregation-sum Query,I would like to know the total land area of all Flaechen in Hochmeisterplatz.,['Flaechen'],['Hochmeisterplatz']
Aggregation-sum Query,Can you provide the combined area of all # in Bosepark?,[],['Bosepark']
Aggregation-sum Query,How much land area is shared between Flaechen and Ägyptisches Museum?,['Flaechen'],['Ägyptisches Museum']
Aggregation-sum Query,Identify the total WFlaechen area in Volkspark Schönholzer Heide.,['WFlaechen'],['Volkspark Schönholzer Heide']
Aggregation-sum Query,I would like to know the total area of all WFlaechen in Grimnitzsee.,['WFlaechen'],['Grimnitzsee']
Aggregation-sum Query,Calculate the total area of all Flaechen located within Bosepark.,['Flaechen'],['Bosepark']
Aggregation-sum Query,Can you provide the sum of # in Koenigssee?,[],['Koenigssee']
Aggregation-sum Query,What is the accumulated number of # in Schloß Niederschönhausen?,[],['Schloß Niederschönhausen']
Aggregation-sum Query,I would like to know the total area of all Sehenswuerdreg in Schloßpark Köpenick.,['Sehenswuerdreg'],['Schloßpark Köpenick']
Aggregation-sum Query,Aggregate the total area covered by Flaechen in Volkspark Mariendorf.,['Flaechen'],['Volkspark Mariendorf']
Aggregation-sum Query,What is the total length of all road in Universitätsklinikum Rudolf Virchow?,['road'],['Universitätsklinikum Rudolf Virchow']
Aggregation-sum Query,I would like to know the total area of all Flaechen in Waldbühne.,['Flaechen'],['Waldbühne']
Aggregation-sum Query,Compute the sum of all # in Planetarium.,[],['Planetarium']
Aggregation-sum Query,I am interested in the combined area of all WFlaechen within Flughafensee.,['WFlaechen'],['Flughafensee']
Aggregation-sum Query,What is the sum of # in Franckepark?,[],['Franckepark']
Aggregation-sum Query,Please calculate the total land area covered by all WFlaechen in Volkspark Humboldthain.,['WFlaechen'],['Volkspark Humboldthain']
Aggregation-sum Query,How much land area is shared between WFlaechen and Flughafen Tempelhof?,['WFlaechen'],['Flughafen Tempelhof']
Aggregation-sum Query,Please calculate the combined area of all WFlaechen in Heinrich-Lassen-Park.,['WFlaechen'],['Heinrich-Lassen-Park']
Aggregation-sum Query,What is the combined # in Mauerpark?,[],['Mauerpark']
Aggregation-sum Query,Can you tell me the total # of all # in Schloß Pfaueninsel?,[],['Schloß Pfaueninsel']
Aggregation-sum Query,I would like to know the total water area covered by all Sehenswuerdreg in Haus Bethanien.,['Sehenswuerdreg'],['Haus Bethanien']
Aggregation-sum Query,What is the total length of UBahn in Fischtalpark?,['UBahn'],['Fischtalpark']
Aggregation-sum Query,What is the total area of Sehenswuerdreg in Akademie der Künste?,['Sehenswuerdreg'],['Akademie der Künste']
Aggregation-sum Query,What is the total length of all Wasserumland2 in Pohlesee?,['Wasserumland2'],['Pohlesee']
Aggregation-sum Query,Calculate the combined area of all Sehenswuerdreg in Teufelssee.,['Sehenswuerdreg'],['Teufelssee']
Aggregation-sum Query,Please provide the aggregate area of all WFlaechen intersecting Charité-Krankenhaus.,['WFlaechen'],['Charité-Krankenhaus']
Aggregation-sum Query,List the total number of # in Maienwerder.,[],['Maienwerder']
Aggregation-sum Query,I am interested in the aggregate area of all WFlaechen in Rathaus Charlottenburg.,['WFlaechen'],['Rathaus Charlottenburg']
Aggregation-sum Query,I would like to know the total land area covered by all Flaechen in Berliner Forst Düppel.,['Flaechen'],['Berliner Forst Düppel']
Aggregation-sum Query,Please determine the combined land area of all Flaechen within Triestpark.,['Flaechen'],['Triestpark']
Aggregation-sum Query,Compute the sum of all # in Gleisdreieck.,[],['Gleisdreieck']
Aggregation-sum Query,List the total area covered by WFlaechen in Stölpchensee.,['WFlaechen'],['Stölpchensee']
Aggregation-sum Query,Can you provide the aggregate area of all WFlaechen intersecting Ziegeleisee?,['WFlaechen'],['Ziegeleisee']
Aggregation-sum Query,Can you provide the combined area of all WFlaechen in Schmöckwitzer Werder?,['WFlaechen'],['Schmöckwitzer Werder']
Aggregation-sum Query,Can you tell me the sum of all # in Le Canard?,[],['Le Canard']
Aggregation-sum Query,Calculate the sum of # in Reckahn.,[],['Reckahn']
Aggregation-sum Query,List the total area covered by Sehenswuerdreg in Barssee.,['Sehenswuerdreg'],['Barssee']
Aggregation-sum Query,Calculate the sum of # in Pichelssee.,[],['Pichelssee']
Aggregation-sum Query,What is the total sum of Sehenswuerdreg in Kleiner Müggelsee?,['Sehenswuerdreg'],['Kleiner Müggelsee']
Aggregation-sum Query,Compute the sum of # in Deichgraf.,[],['Deichgraf']
Aggregation-sum Query,What is the combined extent of all Sehenswuerdreg in Haus Zenner?,['Sehenswuerdreg'],['Haus Zenner']
Aggregation-sum Query,Please determine the combined area of all WFlaechen within Landschaftspark Wuhletal (Ahrensfelder Berge).,['WFlaechen'],['Landschaftspark Wuhletal (Ahrensfelder Berge)']
Aggregation-sum Query,Compute the aggregate # in Marienhöhe.,[],['Marienhöhe']
Aggregation-sum Query,Can you provide the combined area of all Flaechen in Berliner Forst Tegel?,['Flaechen'],['Berliner Forst Tegel']
Aggregation-sum Query,Can you tell me the aggregate area of all WFlaechen in Bodemuseum?,['WFlaechen'],['Bodemuseum']
Aggregation-sum Query,Please determine the aggregate land area of all Sehenswuerdreg within Havel.,['Sehenswuerdreg'],['Havel']
Aggregation-sum Query,Can you provide the combined area of all Flaechen in Badesee Arkenberge?,['Flaechen'],['Badesee Arkenberge']
Aggregation-sum Query,Can you tell me the total # of all # in Waldpark Steinberg?,[],['Waldpark Steinberg']
Aggregation-sum Query,Can you tell me the sum of all # in Berliner Stadtforst Köpenick?,[],['Berliner Stadtforst Köpenick']
Aggregation-sum Query,What is the combined area of all WFlaechen intersecting Tegeler See?,['WFlaechen'],['Tegeler See']
Aggregation-sum Query,Can you provide the aggregate land area of all # in Maienwerder?,[],['Maienwerder']
Aggregation-sum Query,Can you provide the combined area of all # in Krossinsee?,[],['Krossinsee']
Aggregation-sum Query,Please determine the aggregate water area of all WFlaechen within Gedenkstätte Haus d. Wanseekonferenz.,['WFlaechen'],['Gedenkstätte Haus d. Wanseekonferenz']
Aggregation-sum Query,Give me the total value of # from Berliner Forst Spandau.,[],['Berliner Forst Spandau']
Aggregation-sum Query,Can you provide the combined surface area of all Wasserumland2 that intersect Salvador-Allende-Str.?,['Wasserumland2'],['Salvador-Allende-Str.']
Aggregation-sum Query,Can you provide the total area of WFlaechen in Franckepark?,['WFlaechen'],['Franckepark']
Aggregation-sum Query,Can you tell me the total number of # in SEZ?,[],['SEZ']
Aggregation-sum Query,Can you provide the combined area of all # in Schlüter?,[],['Schlüter']
Aggregation-sum Query,Can you tell me the combined area of all Sehenswuerdreg in Akademie der Künste?,['Sehenswuerdreg'],['Akademie der Künste']
Aggregation-sum Query,What is the total area of WFlaechen in Universität der Künste?,['WFlaechen'],['Universität der Künste']
Aggregation-sum Query,Compute the total area of Flaechen in Die Banke.,['Flaechen'],['Die Banke']
Aggregation-sum Query,I am interested in the combined water area of all Flaechen within Berliner Forst Tegel.,['Flaechen'],['Berliner Forst Tegel']
Aggregation-sum Query,What is the sum of all # in Habermannsee?,[],['Habermannsee']
Aggregation-sum Query,Can you provide the total length of all Faehren in Rudower Höhe?,['Faehren'],['Rudower Höhe']
Aggregation-sum Query,Please calculate the combined area of all Sehenswuerdreg in Universitätsklinikum Rudolf Virchow.,['Sehenswuerdreg'],['Universitätsklinikum Rudolf Virchow']
Aggregation-sum Query,Please calculate the total land area covered by all WFlaechen in Planetarium.,['WFlaechen'],['Planetarium']
Aggregation-sum Query,What is the total length of strassen in Volkspark am Weinberg?,['strassen'],['Volkspark am Weinberg']
Aggregation-sum Query,Can you provide the total water area of all Flaechen in Butzer See?,['Flaechen'],['Butzer See']
Aggregation-sum Query,Calculate the sum of all # in Kongreßhalle.,[],['Kongreßhalle']
Aggregation-sum Query,What is the sum of # in Schlachtensee?,[],['Schlachtensee']
